eventcategory,isfirstactivity,apppackagename,appversion,devicetype,devicemanufacturer,osversion,canonicaldeviceuuid,sourcetype,channel,params_campaign,params_medium,params_term,inappeventcategory,inappeventlabel,eventdatetime,rowuuid,isfirstgoalactivity,event_rank
launch,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,FEE81D6D-4166-439B-B677-B20AF32005F0,unattributed,unattributed,,,,,,2018-09-29T03:17:21+09:00,3f93d700-7a22-4a68-807c-053ba0ea55ad,False,False
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.2.6,9A58CC9C-8CD5-4624-9625-E9E0A92E9B2C,unattributed,unattributed,,,,inbox.view,,2018-09-29T03:17:21+09:00,eef5abcd-19b4-48ad-9eeb-c55130a4ae0c,False,True
goal,True,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,de30b34d-9579-4fa0-aa68-9a152c2bc211,unattributed,unattributed,,,,category_gig.view,2.0,2018-09-29T03:17:25+09:00,f85b8350-3d4b-4812-86eb-c80989bda4f5,True,True
goal,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,FEE81D6D-4166-439B-B677-B20AF32005F0,unattributed,unattributed,,,,tutorial.view,,2018-09-29T03:17:26+09:00,277a36e5-fac0-4d33-b0d7-a031bf81220e,True,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,FEE81D6D-4166-439B-B677-B20AF32005F0,unattributed,unattributed,,,,tutorial.view,,2018-09-29T03:17:27+09:00,65e22a6c-1564-4429-bb50-337dd406e818,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.2.6,9A58CC9C-8CD5-4624-9625-E9E0A92E9B2C,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T03:17:27+09:00,5a6052f1-ad26-436e-b0a6-c3180496189b,False,True
goal,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,FEE81D6D-4166-439B-B677-B20AF32005F0,unattributed,unattributed,,,,home.view,,2018-09-29T03:17:28+09:00,2cc3aaf7-a9f5-4eae-a705-2d3134fa6d1f,True,True
goal,False,com.kmong.kmong,3.3.2,SM-N900S,samsung,Android5.0,8cc6185c-ed53-49da-a47e-d1fe8a217c89,unattributed,unattributed,,,,search.view,,2018-09-29T03:17:38+09:00,0885cef4-6a37-4a70-bf9c-43c488e64150,False,True
goal,False,com.kmong.kmong,3.3.2,SM-N900S,samsung,Android5.0,8cc6185c-ed53-49da-a47e-d1fe8a217c89,unattributed,unattributed,,,,search_gig.view,,2018-09-29T03:17:38+09:00,e34a9650-0876-4c03-aa8a-4eb472aa0a47,False,True
goal,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,FEE81D6D-4166-439B-B677-B20AF32005F0,unattributed,unattributed,,,,category_gig.view,1.0,2018-09-29T03:17:39+09:00,eb968d4b-29c7-4922-a47d-bbe4ccf0b156,True,True
goal,True,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,de30b34d-9579-4fa0-aa68-9a152c2bc211,unattributed,unattributed,,,,gig_detail.view,20307.0,2018-09-29T03:17:43+09:00,c01d2b82-c98a-47f5-b135-f73ba48d03bb,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,8E9CC885-49E0-459F-A016-6DB809E697A1,unattributed,unattributed,,,,menu.view,,2018-09-29T03:17:45+09:00,b945c123-e148-4612-86cd-8cf57f687ef5,False,True
goal,False,com.kmong.kmong,3.3.2,SM-G965N,samsung,Android8.0.0,8e9536f0-4638-437e-8934-c0b2e85dabe9,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T03:17:49+09:00,28559066-1ad5-49d4-9956-538d2a44896d,False,True
goal,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,FEE81D6D-4166-439B-B677-B20AF32005F0,unattributed,unattributed,,,,gig_detail.view,10801.0,2018-09-29T03:17:50+09:00,a05eabc4-4330-40ac-b790-e6f2ca85c969,True,True
