eventcategory,isfirstactivity,apppackagename,appversion,devicetype,devicemanufacturer,osversion,canonicaldeviceuuid,sourcetype,channel,params_campaign,params_medium,params_term,inappeventcategory,inappeventlabel,eventdatetime,rowuuid,isfirstgoalactivity,event_rank
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,b3c7a294-72e3-43c9-a778-b2b78044f3b5,unattributed,unattributed,,,,gig_detail.view,715.0,2018-09-29T22:00:00+09:00,9ad80ce2-108b-4296-b12b-7e9bceaaa89b,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,89608424-40B8-4486-A98E-3D44A4DE443A,unattributed,unattributed,,,,search.view,,2018-09-29T22:00:00+09:00,f73adaa0-5893-4685-89fa-7d39e4a4f630,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,b3c7a294-72e3-43c9-a778-b2b78044f3b5,unattributed,unattributed,,,,gig_detail.view,715.0,2018-09-29T22:00:01+09:00,414ed8a1-a740-4417-8df2-596bbfd81401,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,57FD46F1-74F3-41DD-B1F2-9E6AC8844A42,unattributed,unattributed,,,,buyer_order_track.view,,2018-09-29T22:00:01+09:00,9a8c152a-7411-4eec-abd8-112f3dbc92f5,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,b3c7a294-72e3-43c9-a778-b2b78044f3b5,unattributed,unattributed,,,,search.view,,2018-09-29T22:00:02+09:00,414b1347-fcfd-433e-a503-105cf48dcff2,False,True
background,,com.kmong.kmong,3.3.5,SM-G960N,samsung,Android8.0.0,05643374-8c3f-456d-85af-e5c353fb29f7,,,,,,,,2018-09-29T22:00:02+09:00,1295bd97-3ce0-44d4-924f-f7130e00e571,,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,b3c7a294-72e3-43c9-a778-b2b78044f3b5,unattributed,unattributed,,,,search_gig.view,,2018-09-29T22:00:02+09:00,2543a3c2-caa6-4b28-bec9-09f03519338c,False,True
background,,com.kmong.kmong,3.3.5,SM-N960N,samsung,Android8.1.0,bc382b70-4ecf-4903-ae95-b8d63c910347,,,,,,,,2018-09-29T22:00:03+09:00,d7f2c75b-47e8-4ff6-9844-2db6f4dcc313,,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,57FD46F1-74F3-41DD-B1F2-9E6AC8844A42,unattributed,unattributed,,,,buyer_order_track.view,,2018-09-29T22:00:03+09:00,bd8d9ef6-8222-471d-8ed4-c71d37087721,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,89608424-40B8-4486-A98E-3D44A4DE443A,unattributed,unattributed,,,,search_gig.view,,2018-09-29T22:00:04+09:00,d489ed23-4c9f-4c48-b48c-0715e767de41,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,57FD46F1-74F3-41DD-B1F2-9E6AC8844A42,unattributed,unattributed,,,,buyer_order_track.view,,2018-09-29T22:00:06+09:00,8cf9452b-523e-4447-9a5b-14492ff0839e,False,True
goal,True,com.kmong.kmong,3.3.5,SM-G930L,samsung,Android7.0,c4d0a489-c48b-4c9c-b0ab-b17d425128da,unattributed,unattributed,,,,gig_detail.view,715.0,2018-09-29T22:00:07+09:00,a130acf3-74f8-49a7-b033-81570119fae0,False,True
goal,True,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,b3c7a294-72e3-43c9-a778-b2b78044f3b5,unattributed,unattributed,,,,gig_detail.view,715.0,2018-09-29T22:00:07+09:00,981e439b-6a56-4f22-a368-5c9cf7cdaf44,False,True
background,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,3B699E8C-FA68-4DA4-B77D-E1B8D2247C9A,,,,,,,,2018-09-29T22:00:08+09:00,f2a712c7-0cda-41df-9819-871796eea6f0,,True
foreground,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,3846BDC6-791A-4AB2-9F01-E16BF2440AED,,,,,,,,2018-09-29T22:00:09+09:00,7393f0a4-9d77-40ce-9387-d8246d5d373b,,True
goal,False,com.kmong.kmong,3.3.5,SM-G965N,samsung,Android8.0.0,5b6d4414-42b2-4c63-b9b9-937f2825e7a2,viral,WEB,,,,search.view,,2018-09-29T22:00:10+09:00,b1105221-8c1e-4eaa-949c-ef7448cb5f69,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G965N,samsung,Android8.0.0,5b6d4414-42b2-4c63-b9b9-937f2825e7a2,viral,WEB,,,,search_gig.view,,2018-09-29T22:00:10+09:00,acd5fdb3-5640-4269-9bb1-a5012c1d2484,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,3846BDC6-791A-4AB2-9F01-E16BF2440AED,viral,pc_naver,design,cpc,로고디자인,inbox_detail.view,,2018-09-29T22:00:11+09:00,1f8d2fa7-3690-47c0-8a05-b54ab29c3f6c,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,89608424-40B8-4486-A98E-3D44A4DE443A,unattributed,unattributed,,,,gig_detail.view,1107.0,2018-09-29T22:00:11+09:00,5359a0a6-4f02-4f3f-b1b7-fa70bd559dc2,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,89608424-40B8-4486-A98E-3D44A4DE443A,unattributed,unattributed,,,,gig_detail.view,1107.0,2018-09-29T22:00:12+09:00,83c0dfdb-0dd1-4391-b539-1fcdfa74c61b,False,True
install,True,com.kmong.kmong,3.3.5,SM-G935S,samsung,Android7.0,e825b154-a840-454c-b5ea-8a11cea6e458,stranger,google,mweb-app-install,cpc,,,,2018-09-29T22:00:13+09:00,0e1994ba-879e-41c3-b276-e2129fac796a,False,True
