eventcategory,isfirstactivity,apppackagename,appversion,devicetype,devicemanufacturer,osversion,canonicaldeviceuuid,sourcetype,channel,params_campaign,params_medium,params_term,inappeventcategory,inappeventlabel,eventdatetime,rowuuid,isfirstgoalactivity,event_rank
launch,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,1F959605-533D-4C8A-8103-4F81C95AA97B,unattributed,unattributed,,,,,,2018-09-29T06:00:03+09:00,4df6166e-fed5-4f8f-ad7c-91f9c609f3e1,False,False
goal,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,1F959605-533D-4C8A-8103-4F81C95AA97B,unattributed,unattributed,,,,home.view,,2018-09-29T06:00:04+09:00,74ec9eae-facd-4ffc-8c2a-4b16e2130963,True,True
goal,False,com.kmong.kmong,3.3.5,SM-G950N,samsung,Android8.0.0,527208e9-8935-4fd1-beea-cbedee578b12,unattributed,unattributed,,,,category_gig.view,922.0,2018-09-29T06:00:05+09:00,bb49140a-97e1-4a0a-96ea-d1a3912bd101,False,True
goal,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,1F959605-533D-4C8A-8103-4F81C95AA97B,unattributed,unattributed,,,,menu.view,,2018-09-29T06:00:13+09:00,d7c18952-471e-4e9a-aaf8-22cc37fa3a4e,True,True
background,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,1F959605-533D-4C8A-8103-4F81C95AA97B,,,,,,,,2018-09-29T06:00:16+09:00,4058620d-7ca3-4789-a153-1d2066c3f63a,,True
goal,True,com.kmong.kmong,3.3.5,SM-G950N,samsung,Android8.0.0,527208e9-8935-4fd1-beea-cbedee578b12,unattributed,unattributed,,,,gig_detail.view,922.0,2018-09-29T06:00:18+09:00,f83bf429-536b-46df-bde4-751960cda384,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G950N,samsung,Android8.0.0,527208e9-8935-4fd1-beea-cbedee578b12,unattributed,unattributed,,,,category_gig.view,922.0,2018-09-29T06:00:39+09:00,91a18a04-e588-495d-94f9-9fd4f04f0051,False,True
goal,True,com.kmong.kmong,3.3.5,SM-G950N,samsung,Android8.0.0,527208e9-8935-4fd1-beea-cbedee578b12,unattributed,unattributed,,,,gig_detail.view,922.0,2018-09-29T06:01:00+09:00,43543987-9524-4b60-bcc9-4eec617a03e6,False,True
background,,com.kmong.iOS,4.0.1,iPhone,Apple,iOS11.4.1,2B434E6E-A3D9-4AE4-8AA7-5C2CE0F69A19,,,,,,,,2018-09-29T06:01:06+09:00,93d75af6-d69a-4c35-93b1-2ebd4a463dc5,,True
goal,False,com.kmong.kmong,3.3.5,SM-G950N,samsung,Android8.0.0,527208e9-8935-4fd1-beea-cbedee578b12,unattributed,unattributed,,,,category_gig.view,922.0,2018-09-29T06:01:39+09:00,6540b0e0-c0eb-4847-81a8-351effc3f9ac,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G950N,samsung,Android8.0.0,527208e9-8935-4fd1-beea-cbedee578b12,unattributed,unattributed,,,,home.view,,2018-09-29T06:02:05+09:00,20b8f8f6-dc5f-4037-9c9c-cb802316abc2,False,True
launch,False,com.kmong.kmong,3.3.5,SM-G955N,samsung,Android8.0.0,d44bad80-64f8-45ea-85c4-49e978abd2cf,unattributed,unattributed,,,,,,2018-09-29T06:02:14+09:00,0298372c-247b-4ae3-af22-d5c869417bed,False,False
goal,False,com.kmong.kmong,3.3.5,SM-G955N,samsung,Android8.0.0,d44bad80-64f8-45ea-85c4-49e978abd2cf,unattributed,unattributed,,,,home.view,,2018-09-29T06:02:15+09:00,fcaf4ee8-013d-4a01-bd4a-8c7ece98b982,False,True
goal,False,com.kmong.kmong,3.3.3,SM-N960N,samsung,Android8.1.0,aacd44ba-6ebb-439f-9288-ffa51975a412,unattributed,unattributed,,,,buyer_order_track.view,,2018-09-29T06:02:19+09:00,4e085fca-5dc3-41ad-88ab-b17838d934b8,False,True
