eventcategory,isfirstactivity,apppackagename,appversion,devicetype,devicemanufacturer,osversion,canonicaldeviceuuid,sourcetype,channel,params_campaign,params_medium,params_term,inappeventcategory,inappeventlabel,eventdatetime,rowuuid,isfirstgoalactivity,event_rank
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,DB9BA178-BE3C-44A9-8AF8-BDADBB2719CE,unattributed,unattributed,,,,home.view,,2018-09-29T20:15:55+09:00,ef0e784d-6a84-4e2b-b45c-8552794af4c8,False,True
goal,False,com.kmong.kmong,3.3.5,LG-F500S,LGE,Android6.0,40ebf196-e565-474d-a6ae-65a39050532d,unattributed,unattributed,,,,home.view,,2018-09-29T20:15:55+09:00,41f41eeb-2b9c-4ef3-9982-d6a7d97919f8,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N920K,samsung,Android7.0,2e24ebc3-30fb-4029-be9a-2f9dfa9d176a,unattributed,unattributed,,,,search_gig.view,,2018-09-29T20:15:55+09:00,f70c83aa-2e30-4f79-8312-23c96906cbd0,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,de30b34d-9579-4fa0-aa68-9a152c2bc211,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T20:15:55+09:00,7cdd0eb8-29bd-42f8-9003-b93c3498d09f,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G950N,samsung,Android8.0.0,a96fe42f-036c-43b5-bef8-3609cf21ca8b,unattributed,unattributed,,,,category_gig.view,2.0,2018-09-29T20:15:56+09:00,62b69673-d7c4-4d4f-8818-59b661fb28bd,False,True
goal,False,com.kmong.kmong,3.3.5,TG-L900S,Foxconn,Android6.0.1,a1e1c5b1-8093-45b5-a4f4-d5c0aa935bd2,unattributed,unattributed,,,,buyer_order_track.view,,2018-09-29T20:15:56+09:00,d30a1295-432a-4691-b822-62cfa1847d6f,False,True
goal,False,com.kmong.kmong,3.3.5,SM-A810S,samsung,Android7.0,09e27fb4-d21b-40b2-9ccb-5c5f4b9a34ee,unattributed,unattributed,,,,search.view,,2018-09-29T20:15:57+09:00,6daba45a-263c-47ae-98c0-ea65773132aa,False,True
goal,True,com.kmong.kmong,3.3.5,SM-G930L,samsung,Android8.0.0,b1348290-5bed-4afa-a769-509e29d76efe,unattributed,unattributed,,,,profile.click,,2018-09-29T20:15:57+09:00,2b20245c-6133-4b58-a68b-dd4c7bfdad78,True,True
goal,False,com.kmong.kmong,3.3.5,SM-A810S,samsung,Android7.0,09e27fb4-d21b-40b2-9ccb-5c5f4b9a34ee,unattributed,unattributed,,,,search_gig.view,,2018-09-29T20:15:57+09:00,e75145ae-712b-40d7-9629-762e7a03492d,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,de30b34d-9579-4fa0-aa68-9a152c2bc211,unattributed,unattributed,,,,inbox.view,,2018-09-29T20:15:58+09:00,3aeb317f-cc40-4c45-8b04-c931559ec107,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G950N,samsung,Android8.0.0,a96fe42f-036c-43b5-bef8-3609cf21ca8b,unattributed,unattributed,,,,category_gig.view,222.0,2018-09-29T20:15:58+09:00,ad5c7e19-323a-440b-8d2b-06e8ed8f31db,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,81CAEFBE-117D-4EC1-B43D-CA5AF6DACB61,viral,WEB,,,,search_gig.view,,2018-09-29T20:15:58+09:00,751d919c-c810-4468-ae7d-bac9b2a4bb82,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,de30b34d-9579-4fa0-aa68-9a152c2bc211,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T20:15:59+09:00,68d117db-397b-44f2-ba42-35d149ba650a,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,81CAEFBE-117D-4EC1-B43D-CA5AF6DACB61,viral,WEB,,,,search.view,,2018-09-29T20:15:59+09:00,39e443de-6308-4b08-bbf7-9a1062e84a5e,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,89608424-40B8-4486-A98E-3D44A4DE443A,unattributed,unattributed,,,,home.view,,2018-09-29T20:15:59+09:00,99c8d646-1b4a-4ae3-8915-b41eed143b4a,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,89608424-40B8-4486-A98E-3D44A4DE443A,unattributed,unattributed,,,,search.view,,2018-09-29T20:15:59+09:00,1ba8e1ff-6c0a-43ef-8dc6-100c64b2c1f3,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G935S,samsung,Android8.0.0,e0d45a55-da7c-40ad-8b4e-3b250e1effc0,unattributed,unattributed,,,,category_gig.view,6.0,2018-09-29T20:15:59+09:00,79e563d4-6fef-47b8-90cc-9d0786e59c08,False,True
